id,title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia,sourceReferenceImages,sourceVideos
3808,Fake game show intro video,"A grok-imagine prompt for a fictional game show introduction, featuring a logo reveal and off-screen narration context.","Apparition du logo de En Êtes-Vous Sur ? Puis d’une narration hors champ : Regardez en êtes-vous sûr, sur Wow!

First fake game tv show on a fake specialized network.",https://x.com/AlexStGeorwm4t/status/2048793170683547735,2026-04-27T15:55:31.000Z,"{""name"":""Alex St-Georges"",""link"":""https://x.com/AlexStGeorwm4t""}",[],[],"[{""id"":""69f06bb2c11222000468ff22"",""url"":""https://video.twimg.com/amplify_video/2048793113477746688/vid/avc1/1280x720/MTYzWFzq9BCESGXs.mp4?tag=25"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048793113477746688/img/c-XHd-f7j-kkweSa.jpg"",""caption"":null}]"
3807,Character tongue twister challenge,A prompt designed to make an original character perform a Japanese tongue twister with corresponding actions.,添付画像のキャラクターが早口言葉に挑戦している。 「かえるぴょこぴょこみぴょこぴょこ　あわせてぴょこぴょこむぴょこぴょこ」 を2回言う。 後ろで早口言葉に合わせて、蛙が出てきて飛び跳ねること。,https://x.com/aILoveAsmr/status/2048622693717868775,2026-04-27T04:38:06.000Z,"{""name"":""あいらぶ＠管理人『aI Love Asmr』"",""link"":""https://x.com/aILoveAsmr""}",[],[],"[{""id"":""69f06baf3a8fe800043e09a4"",""url"":""https://video.twimg.com/amplify_video/2048621626003185664/vid/avc1/1280x720/QaqoFPEgFpqXcglY.mp4?tag=25"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048621626003185664/img/OF5_rayQsQGSvwl1.jpg"",""caption"":null}]"
3806,Mystical Bioluminescent Owl Animation,An intricate prompt for a high-quality digital animation of a magical owl with galaxy feathers and glowing eyes in an enchanted forest.,"A high-quality digital animation of a mystical, bioluminescent owl perched on a branch in a dark, enchanted forest. The owl possesses galaxy-patterned feathers and glowing blue eyes, surrounded by floating magical orbs.",https://x.com/AhmedYasienibby/status/2049023673575641544,2026-04-28T07:11:27.000Z,"{""name"":""ahmed ibrahim"",""link"":""https://x.com/AhmedYasienibby""}",[],[],"[{""id"":""69f06bae3a8fe800043e09a3"",""url"":""https://video.twimg.com/amplify_video/2049023610959126528/vid/avc1/720x1264/zFPcjBrUs7gGGhpc.mp4?tag=25"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2049023610959126528/img/EPVJsl6_gW06_FPi.jpg"",""caption"":null}]"
3805,Pink Holographic Sweet Peas Video,A visually rich video prompt featuring pink holographic sweet peas with shimmering petals and soft blooming light.,Pink holographic sweet peas with glitter-edged petals ✨ Soft pink light blooming around every dream.,https://x.com/StellaGrokStar/status/2048739112166064635,2026-04-27T12:20:42.000Z,"{""name"":""Stella 𝕏"",""link"":""https://x.com/StellaGrokStar""}",[],[],"[{""id"":""69f06bad3a8fe800043e09a2"",""url"":""https://video.twimg.com/amplify_video/2048739046009274368/vid/avc1/1080x1080/Fa8jBgedFb6ah_tw.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048739046009274368/img/u9v3LRZkfcrCXcK3.jpg"",""caption"":null}]"
3804,Monochrome Underworld Ghost Train,A cinematic monochrome video prompt depicting a vampire boarding a ghost train to the underworld.,"Ghost Train in the Hell’s Underworld 1 monochrome version

Vampire 6 boards the Ghost Train.
The journey to Hell’s Underworld begins now.",https://x.com/GothicistStudio/status/2048802660284010534,2026-04-27T16:33:13.000Z,"{""name"":""Gothicist"",""link"":""https://x.com/GothicistStudio""}",[],[],"[{""id"":""69f06bac3a8fe800043e09a1"",""url"":""https://video.twimg.com/amplify_video/2048802531300835335/vid/avc1/1280x720/R74bYwKaWknQ7UkX.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048802531300835335/img/Vvg-WkaDhKlGpk-e.jpg"",""caption"":null}]"
3803,Magical Galaxy Jar Video,A detailed artistic prompt for a vertical video showing a magical jar filling with cosmic elements.,"A magical glass dream jar on a wooden table under moonlight, slowly filling with glowing pastel stars, soft clouds, floating hearts, and tiny galaxies, cinematic lighting, ethereal atmosphere, gentle motion, 4:5 vertical, ultra-artistic, dreamy resin aesthetic",https://x.com/JinxLovesCats/status/2048908786098721113,2026-04-27T23:34:56.000Z,"{""name"":""Jinx Loves Cats 🐾"",""link"":""https://x.com/JinxLovesCats""}",[],[],"[{""id"":""69f06bac3a8fe800043e09a0"",""url"":""https://video.twimg.com/amplify_video/2048908631777939456/vid/avc1/784x1168/ztTAPoeHIjs1M-r3.mp4?tag=25"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048908631777939456/img/FUw8oHrmmr-9-PB_.jpg"",""caption"":null}]"
3802,Cinematic Corridor Sequence,A highly detailed video prompt for a cinematic sequence focusing on a character walking down a hallway with specific camera focus.,"35mm bridge plate from inside the dome looking out to space. Cinema-quality establishing. 85mm telephoto corridor with gorgeous DOF compression on the airlock at the end of the hall. The way the corridor recedes, the practicals along the walls, the rim lighting on the floor panels. Empty corridor, ready to populate. ECU of boots on the corridor floor with the deep-focus pull through the hallway. the shot begins with an ECU of the woman's feet. She walks down the hallway, away from the camera, slowly, deliberately. We hear her boots on the walkway with each step.",https://x.com/michaelricks/status/2048820507269575075,2026-04-27T17:44:08.000Z,"{""name"":""M I K E • マイケル・リックス"",""link"":""https://x.com/michaelricks""}",[],[],"[{""id"":""69f06baa3a8fe800043e099f"",""url"":""https://video.twimg.com/amplify_video/2048819180317896704/vid/avc1/752x416/bbRTpejYTRJ91bgU.mp4?tag=25"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048819180317896704/img/trGXyRnZ7QzMhKS6.jpg"",""caption"":null}]"
3801,Rainy Porch Crows Scene,An atmospheric video prompt describing crows on a porch listening to the sound of rain.,"The sound of rain on the porch roof, White crow and black crow sitting on the porch listening to the rain",https://x.com/HawkinsonLindy/status/2048621756240585075,2026-04-27T04:34:22.000Z,"{""name"":""Lindy Hawkinson"",""link"":""https://x.com/HawkinsonLindy""}",[],[],"[{""id"":""69f06ba93a8fe800043e099e"",""url"":""https://video.twimg.com/amplify_video/2048621688175390720/vid/avc1/784x1168/uwLJfEAD2TKX2Zo5.mp4?tag=25"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048621688175390720/img/4pXPKs6Uak6bAvsP.jpg"",""caption"":null}]"
3800,Rousseau AI Talking Head,Generates a video of philosopher Jean-Jacques Rousseau explaining modern social contracts in the context of AI technology.,"Make the French philosopher Rousseau thoughtfully explain: To make the most of the emerging technologies assisted by AI, we need to draft a novel approach to the Social Contract.",https://x.com/Covenant_Shield/status/2048746560209432867,2026-04-27T12:50:18.000Z,"{""name"":""Covenant Shield"",""link"":""https://x.com/Covenant_Shield""}",[],[],"[{""id"":""69f06ba93a8fe800043e099d"",""url"":""https://video.twimg.com/amplify_video/2048746451069779968/vid/avc1/784x1168/Jh5nm2-eIgzAFD31.mp4?tag=25"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048746451069779968/img/kmeHlOCojOUyHq1W.jpg"",""caption"":null}]"
3799,Poetic Speaking Portrait Prompt,"A video prompt where a character speaks a poetic line to the camera with a soft, ethereal whispering tone.","she looks at the camera and says: “I am the mirror where water kisses chrome… and dreams take form.” Tone: soft ethereal whisper, slightly echoing",https://x.com/carolletta/status/2048764291491549392,2026-04-27T14:00:45.000Z,"{""name"":""Carolina Delgado"",""link"":""https://x.com/carolletta""}",[],[],"[{""id"":""69f06ba73a8fe800043e099c"",""url"":""https://video.twimg.com/amplify_video/2048764237401690112/vid/avc1/800x1472/ALdtX5tjK6aU7vAc.mp4?tag=25"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2048764237401690112/img/OyT5o-H8zXQM2ZPu.jpg"",""caption"":null}]"
